"fr","en"
"Le gras et l'italique s'écrivent aussi dans le texte : **gras**, *italique*.","Bold and italic can also be written inline: **bold**, *italic*."
"Les limites X ne s'appliquent qu'à un axe numérique.","X limits only apply to a numeric axis."
"La légende n'apparaît qu'avec « Colorer par groupes statistiques ».","The legend only appears with « Colour by statistical groups »."
"Format et résolution se choisissent sous le graphique.","Format and resolution are chosen below the plot."
"Personnaliser les limites","Customise the limits"
"Texte","Text"
"Espacement","Spacing"
"Position du titre","Title position"
"Style du sous-titre","Subtitle style"
"Style graduations X","X tick style"
"Style graduations Y","Y tick style"
"Style","Style"
"Position de l'étiquette","Label position"
"Style de l'étiquette","Label style"
"Décimales","Decimals"
"Opacité des barres :","Bar opacity:"
"Épaisseur","Thickness"
"Texte de la légende :","Legend text:"
"Étiquette du seuil:","Threshold label:"
"Valeurs sur les barres","Values on the bars"
"Étiquette de la ligne de seuil","Threshold line label"
"Afficher la valeur de chaque barre","Show each bar's value"
"Au-dessus de la barre","Above the bar"
"Dans la barre, en haut","Inside the bar, at the top"
"Au pied de la barre","At the foot of the bar"
"Contour des barres","Bar outline"
"Couleur du contour","Outline colour"
"Pas des graduations Y","Y tick step"
"À droite","On the right"
"Au centre","In the centre"
"À gauche","On the left"
"Laisser vide pour laisser ggplot choisir.","Leave empty to let ggplot choose."
"Une efficacité négative se lit sous l'axe : la position « au pied » la garde visible.","A negative efficacy reads below the axis: the « at the foot » position keeps it visible."
"%d valeur(s) hors des limites de l'axe Y (%s à %s) : elles n'apparaissent pas. Élargissez les limites dans « Apparence & options ».","%d value(s) outside the Y axis limits (%s to %s): they are not shown. Widen the limits under « Appearance & options »."
"Grille","Grid"
"Par défaut (ggplot2)","ggplot2 default"
"HStat (minimal)","HStat (minimal)"
"HStat (titre centré, légende en bas)","HStat (centred title, legend at bottom)"
"Principale seule","Major only"
"Masquée","Hidden"
"Apparence du graphique","Plot appearance"
"Apparence du dendrogramme","Dendrogram appearance"
"Apparence des hauteurs de fusion","Merge heights appearance"
"Apparence du graphique des éboulis","Scree plot appearance"
"Apparence de l'analyse parallèle","Parallel analysis appearance"
"Apparence du graphique CTR","CTR plot appearance"
"Apparence — projection des individus","Appearance — individuals projection"
"Apparence — contribution des variables","Appearance — variables contribution"
"Titres et axes","Titles and axes"
"Thème, légende et grille","Theme, legend and grid"
"Laisser vide conserve les libellés calculés par l'analyse (axes, % de variance).","Leaving it empty keeps the labels computed by the analysis (axes, % of variance)."
"La largeur et la hauteur se recalculent quand la résolution change : la taille physique de la figure reste la même, sa finesse augmente.","Width and height are recomputed when the resolution changes: the figure keeps its physical size and gains detail."
"Ellipses non tracées : %s. Un groupe doit compter au moins %d individus non alignés et de coordonnées variables.","Ellipses not drawn: %s. A group needs at least %d individuals, not collinear and with varying coordinates."
"Graphique indisponible : le fichier téléchargé porte le motif.","Plot unavailable: the downloaded file carries the reason."
"Graphique indisponible.","Plot unavailable."
"Graphique exporté : %s, %s × %s pouces, %s DPI.","Plot exported: %s, %s × %s inches, %s DPI."
"Aucun graphique : lancez d'abord l'analyse, puis retelechargez.","No plot: run the analysis first, then download again."
"Plan indisponible : le fichier téléchargé porte le motif.","Design unavailable: the downloaded file carries the reason."
"Échec de l'export : le fichier téléchargé porte le motif.","Export failed: the downloaded file carries the reason."
"Étiquette de la valeur sur le graphique","Value label on the plot"
"Taille de l'étiquette","Label size"
"Afficher « Seuil : x % » sur le graphique","Show « Threshold: x % » on the plot"
"L'étiquette reprend la couleur de la ligne de seuil.","The label takes the colour of the threshold line."
"Fichier produit : %s × %s px, soit %s × %s cm à %s DPI.","Output file: %s × %s px, i.e. %s × %s cm at %s DPI."
"%s indisponible : renseignez une clé d'API (champ ci-dessous ou variable %s). Clé à créer sur %s. Ce service est payant et nécessite une connexion ; la thématisation automatique, elle, est gratuite et hors ligne.","%s unavailable: enter an API key (field below or %s variable). Create a key at %s. This service is paid and needs a connection; automatic theming is free and offline."
"%s disponible (modèle %s).","%s available (model %s)."
"Aucun modèle joignable sur %s. %s","No model reachable at %s. %s"
"Serveur local disponible sur %s (%d modèle(s)). Gratuit, hors ligne, aucune donnée ne quitte la machine.","Local server available at %s (%d model(s)). Free, offline, no data leaves the machine."
"%s injoignable sur %s (%s).","%s unreachable at %s (%s)."
"%s injoignable (%s).","%s unreachable (%s)."
"Réponse illisible de %s.","Unreadable response from %s."
"Clé d'API - %s","API key - %s"
"laisser vide pour utiliser %s","leave empty to use %s"
"Clé à créer sur %s. Service payant, en ligne.","Create a key at %s. Paid, online service."
"%d traitements x %d répétitions = %d parcelles, sur un plan %s.","%d treatments x %d replications = %d plots, on a %s design."
"« %s » ne compte qu'une seule modalité : ce n'est pas un facteur répété.","""%s"" has only one level: it is not a repeated factor."
"« %s » compte autant de modalités que d'observations (%d) : aucune mesure n'est répétée. Regroupez les dates (par mois, par stade) avant l'analyse.","""%s"" has as many levels as observations (%d): nothing is repeated. Group the dates (by month, by stage) before running the analysis."
"Minimum (vide = auto) :","Minimum (blank = auto):"
"Maximum (vide = auto) :","Maximum (blank = auto):"
"Ligne de référence à zéro (sépare gains et pertes)","Zero reference line (separates gains from losses)"
"Titres d'axe sur plusieurs lignes si trop longs","Wrap axis titles onto several lines when too long"
"Alignement des titres d'axe :","Axis title alignment:"
"Gauche","Left"
"Centré","Centred"
"Droite","Right"
"Qualité JPEG","JPEG quality"
"Compression TIFF","TIFF compression"
"LZW","LZW"
"ZIP","ZIP"
"'1. Diagnostic & recommandation'","'1. Diagnosis & recommendation'"
"'Activer l'analyse des interactions'","'Enable interaction analysis'"
"'Diagnostiquer mes données'","'Diagnose my data'"
"'LM / GLM (emmeans + lettres CLD)'","'LM / GLM (emmeans + CLD letters)'"
"'PostHoc MANOVA/PERMANOVA'","'MANOVA/PERMANOVA post-hoc'"
">= 2 variables réponses",">= 2 response variables"
"1 facteur","1 factor"
"1. Saisie manuelle d'un cas","1. Enter a case manually"
"2 variables réponses numériques","2 numeric response variables"
"2. Import d'un fichier de nouveaux cas (CSV/Excel)","2. Import a file of new cases (CSV/Excel)"
"À propos de ce test :","About this test:"
"ACF des résidus","ACF of residuals"
"ACM -- plan des modalités","MCA — map of categories"
"ACP : au moins 2 variables numériques sont nécessaires.","PCA: at least 2 numeric variables are required."
"ACP : la matrice de corrélation est singulière même après nettoyage. Essayez de réduire le nombre de variables.","PCA: the correlation matrix is singular even after cleaning. Try reducing the number of variables."
"ACP : sélectionnez au moins 2 variables numériques actives.","PCA: select at least 2 active numeric variables."
"Action recommandée :","Recommended action:"
"Actions globales","Global actions"
"Actions rapides","Quick actions"
"Adresse du service","Service address"
"AFC — saturations standardisées","CA — standardised loadings"
"AFD : aucune variable non-colinéaire disponible. Vérifiez vos données.","LDA: no non-collinear variable available. Check your data."
"AFDM -- projection des individus","FAMD — projection of individuals"
"AFE -- carte des saturations","EFA — loadings map"
"AFE -- diagramme des variables latentes","EFA — latent variable diagram"
"AFM -- projection des individus","MFA — projection of individuals"
"Ajouter un préfixe","Add a prefix"
"Ajouter un suffixe","Add a suffix"
"Analyse des sentiments","Sentiment analysis"
"Analyse en cours...","Analysis in progress..."
"Analyse parallèle de Horn","Horn's parallel analysis"
"Analyser selon un facteur X (analyse stratifiée)","Analyse by a factor X (stratified analysis)"
"Analyses des résidus","Residual analyses"
"Aperçu :","Preview:"
"Aperçu des données filtrées","Preview of the filtered data"
"Application réinitialisée","Application reset"
"Architecture :","Architecture:"
"Attention : avec les moyennes par groupe, chaque groupe n'a qu'une observation. L'AFD sera effectuée sur les données individuelles.","Warning: with group means, each group has only one observation. The LDA will be run on the individual data."
"Attention : certains groupes ont moins de 2 observations. L'AFD sera effectuée sur les données individuelles.","Warning: some groups have fewer than 2 observations. The LDA will be run on the individual data."
"Au moins 2 modalités requises.","At least 2 categories are required."
"Aucun effet significatif.","No significant effect."
"Aucun effet simple détecté","No simple effect detected"
"Aucun facteur défini dans l'onglet Puissance statistique.","No factor defined in the Statistical power tab."
"Aucun facteur. Convertissez d'abord des variables en facteurs dans l'onglet Nettoyage.","No factor. First convert variables to factors in the Cleaning tab."
"Aucun graphique à exporter : lancez d'abord l'analyse, puis réessayez.","No plot to export: run the analysis first, then try again."
"Aucun modèle LM ou GLM à analyser.","No LM or GLM model to analyse."
"Aucun post-hoc de mesures répétées calculé","No repeated-measures post-hoc computed"
"Aucun PostHoc d'interaction","No interaction post-hoc"
"Aucun PostHoc LM/GLM calculé","No LM/GLM post-hoc computed"
"Aucun PostHoc multivarié calculé","No multivariate post-hoc computed"
"Aucun prédicteur catégoriel détecté dans le(s) modèle(s).","No categorical predictor detected in the model(s)."
"Aucun résultat ANOVA généré","No ANOVA result produced"
"Aucun résultat d'homogénéité généré","No homogeneity result produced"
"Aucun résultat de normalité généré","No normality result produced"
"Aucun résultat de régression généré","No regression result produced"
"Aucun résultat généré","No result produced"
"Aucun résultat généré.","No result produced."
"Aucun résultat GLM généré","No GLM result produced"
"Aucun résultat GLMM généré.","No GLMM result produced."
"Aucun résultat Kruskal-Wallis généré","No Kruskal-Wallis result produced"
"Aucun résultat rmANOVA généré.","No rmANOVA result produced."
"Aucun résultat Scheirer-Ray-Hare généré. Vérifiez vos données et facteurs.","No Scheirer-Ray-Hare result produced. Check your data and factors."
"Aucun résultat Wilcoxon généré","No Wilcoxon result produced"
"Aucune analyse enregistrée : lancez d'abord une analyse dans un autre onglet.","No analysis recorded: run an analysis in another tab first."
"Aucune donnée disponible pour l'analyse.","No data available for the analysis."
"Aucune donnée disponible.","No data available."
"Aucune donnée valide -- toutes les Y sont NA.","No valid data — all Y values are NA."
"Aucune ligne sélectionnée dans le tableau.","No row selected in the table."
"Aucune ligne sélectionnée.","No row selected."
"Aucune modalité à recoder.","No category to recode."
"Aucune observation valide pour cette variable.","No valid observation for this variable."
"Aucune recommandation calculée","No recommendation computed"
"Aucune variable catégorielle ou ordinale détectée.","No categorical or ordinal variable detected."
"Aucune variable Y compatible avec la fonction d'agrégation choisie.","No Y variable compatible with the chosen aggregation function."
"Avertissement : dataframes AFD créés mais vides","Warning: LDA dataframes created but empty"
"Avertissement : dataframes HCPC créés mais vides","Warning: HCPC dataframes created but empty"
"Axe horizontal (Dim)","Horizontal axis (Dim)"
"Axe vertical (Dim)","Vertical axis (Dim)"
